"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Region,Date
Asia,112080501,521505.0,1333376.0,1766.0,104076728.0,498347.0,6670397.0,30563.0,24026.228900117487,285.8302443341421,1907487673.0,408900.1659231561,4664922717.0,Asia,2022-3-6
North America,94158432,57642.0,1384321.0,979.0,63866758.0,164163.0,28907353.0,18121.0,157805.55242719423,2320.0634876923814,1050910315.0,1761281.2712302995,596673758.0,North America,2022-3-6
South America,53321618,91557.0,1248687.0,984.0,46304681.0,148298.0,5768250.0,13954.0,122133.7124524815,2860.1303696589207,207805821.0,475981.3625304064,436583945.0,South America,2022-3-6
Europe,150719217,660784.0,1681452.0,2030.0,122959179.0,1165527.0,26078586.0,16595.0,201396.6545717272,2246.8190477856574,2462184094.0,3290062.4707419965,748370013.0,Europe,2022-3-6
Africa,11442875,8624.0,247689.0,194.0,10454264.0,15330.0,740922.0,1984.0,8213.704135719789,177.7913473381732,95174825.0,68316.55975608465,1393144288.0,Africa,2022-3-6
Oceania,3284142,20201.0,7457.0,49.0,2997343.0,21041.0,279342.0,263.0,75707.08314950072,171.90112944136604,70290543.0,1620359.894159435,43379587.0,Australia/Oceania,2022-3-6
World,425007506,1360313.0,5902997.0,6002.0,350659659.0,2012706.0,68444850.0,81480.0,54525.0,757.3,5793853271.0,734973.824250294,7883074308.0,All,2022-3-6
China,107707,195.0,4636.0,0.0,101449.0,55.0,1622.0,7.0,75.0,3.0,160000000.0,111163.0,1439323776.0,Asia,2022-3-6
USA,80117484,28647.0,959863.0,431.0,51675064.0,129104.0,27482557.0,11668.0,239741.0,2872.0,938796430.0,2809224.0,334183570.0,North America,2022-3-6
India,42838524,16051.0,512141.0,206.0,42124284.0,37901.0,202099.0,8944.0,30550.0,365.0,760146333.0,542096.0,1402235728.0,Asia,2022-3-6
Brazil,28208212,40625.0,644362.0,424.0,25048072.0,98290.0,2515778.0,8318.0,131179.0,2997.0,63776166.0,296584.0,215035499.0,South America,2022-3-6
France,22286829,59003.0,132379.0,79.0,19004136.0,82509.0,3150314.0,3055.0,340204.0,2021.0,243529298.0,3717424.0,65510236.0,Europe,2022-3-6
UK,18616163,36287.0,160595.0,88.0,16710324.0,98329.0,1745244.0,331.0,271886.0,2345.0,476345435.0,6956951.0,68470433.0,Europe,2022-3-6
Russia,15370419,170699.0,345500.0,745.0,12365238.0,147296.0,2659681.0,2300.0,105250.0,2366.0,271700000.0,1860487.0,146037024.0,Europe,2022-3-6
Germany,13602431,104131.0,121891.0,65.0,9673700.0,78800.0,3806840.0,2494.0,161505.0,1447.0,104701826.0,1243150.0,84223015.0,Europe,2022-3-6
Turkey,13504485,70355.0,92451.0,263.0,12661298.0,91164.0,750736.0,1128.0,157347.0,1077.0,140286626.0,1634546.0,85826038.0,Asia,2022-3-6
